project_id,project_name,programming_language,module_name,lines_of_code,code_smell_type,severity_level,refactoring_applied,refactoring_type,maintainability_score,bug_density,review_date
72,Banking System,Java,Module_59,566,Spaghetti Code,Low,No,Extract Method,1.59,12.97,2020-03-12
73,Healthcare Platform,Go,Module_225,2481,Feature Envy,High,Yes,Remove Dead Code,6.8,9.19,2020-03-13
74,Ride Sharing App,Go,Module_129,2397,God Class,Critical,No,Rename Variable,7.42,0.64,2020-03-14
75,Learning Management System,Python,Module_133,2425,Large Class,Critical,Yes,Remove Dead Code,5.27,12.38,2020-03-15
76,Social Media App,Java,Module_212,1871,Duplicate Code,High,Yes,Rename Variable,8.75,13.07,2020-03-16
77,Social Media App,C#,Module_29,4444,God Class,Medium,Yes,Rename Variable,5.01,8.3,2020-03-17
78,Healthcare Platform,C++,Module_82,3919,Spaghetti Code,Low,Yes,Extract Method,7.58,12.81,2020-03-18
79,Learning Management System,Java,Module_264,2320,Duplicate Code,High,No,Replace Magic Number,4.83,3.5,2020-03-19
80,E-Commerce App,C++,Module_108,641,Large Class,High,Yes,Inline Method,5.21,6.71,2020-03-20
81,E-Commerce App,Python,Module_168,241,Dead Code,Critical,Yes,Inline Method,3.7,3.24,2020-03-21
82,Learning Management System,Java,Module_58,2903,Large Class,Low,No,Replace Magic Number,9.46,14.87,2020-03-22
83,Inventory Management,Java,Module_252,4205,Large Class,High,Yes,Inline Method,6.66,4.43,2020-03-23
84,Banking System,Go,Module_66,4028,Long Method,Critical,No,Remove Dead Code,4.05,13.05,2020-03-24
85,Learning Management System,C#,Module_226,1262,God Class,Low,Yes,Rename Variable,1.42,12.71,2020-03-25
86,Banking System,C#,Module_200,2125,Feature Envy,Low,Yes,Replace Magic Number,4.3,6.26,2020-03-26
87,E-Commerce App,C++,Module_96,4391,Duplicate Code,Low,No,Split Class,3.09,6.94,2020-03-27
88,Social Media App,C++,Module_184,626,Large Class,Medium,No,Replace Magic Number,6.26,12.55,2020-03-28
89,Ride Sharing App,JavaScript,Module_71,4802,Magic Numbers,Medium,No,Replace Magic Number,9.17,6.02,2020-03-29
90,Healthcare Platform,Python,Module_34,3397,God Class,Low,Yes,Inline Method,3.82,14.74,2020-03-30
91,Social Media App,Java,Module_52,512,Duplicate Code,Medium,No,Remove Dead Code,3.18,14.73,2020-03-31
92,Learning Management System,Go,Module_60,2511,God Class,Medium,No,Replace Magic Number,2.08,9.68,2020-04-01
93,Ride Sharing App,C#,Module_261,1797,Duplicate Code,Low,Yes,Extract Method,6.76,7.49,2020-04-02
94,Inventory Management,Go,Module_192,2213,Duplicate Code,Critical,Yes,Move Method,5.76,8.45,2020-04-03
95,Learning Management System,Python,Module_81,3510,God Class,Critical,Yes,Replace Magic Number,5.95,13.86,2020-04-04
96,Social Media App,C#,Module_185,4856,Duplicate Code,Medium,Yes,Rename Variable,5.33,11.16,2020-04-05
97,Learning Management System,JavaScript,Module_145,1459,Spaghetti Code,Critical,Yes,Rename Variable,7.84,11.77,2020-04-06
98,Ride Sharing App,C++,Module_156,3468,Magic Numbers,Low,Yes,Remove Dead Code,3.71,9.02,2020-04-07
99,Inventory Management,JavaScript,Module_10,1625,Spaghetti Code,High,No,Extract Method,1.67,14.46,2020-04-08
100,E-Commerce App,Python,Module_210,3787,Long Method,Critical,Yes,Inline Method,2.49,11.08,2020-04-09
101,E-Commerce App,C#,Module_236,3976,Feature Envy,Low,Yes,Inline Method,8.48,14.48,2020-04-10
102,Learning Management System,Python,Module_116,3840,Long Method,Critical,Yes,Rename Variable,6.52,5.89,2020-04-11
103,Inventory Management,Python,Module_207,3881,Feature Envy,Low,Yes,Inline Method,3.41,13.12,2020-04-12
104,Social Media App,Java,Module_90,146,Long Method,Medium,Yes,Rename Variable,4.7,9.31,2020-04-13
105,Social Media App,Java,Module_22,4343,Spaghetti Code,Medium,No,Extract Method,2.46,14.48,2020-04-14
106,E-Commerce App,Go,Module_119,3268,Duplicate Code,Medium,No,Remove Dead Code,3.56,8.69,2020-04-15
107,Learning Management System,C++,Module_171,4913,Dead Code,Critical,Yes,Replace Magic Number,8.62,3.58,2020-04-16
108,E-Commerce App,Go,Module_59,362,Dead Code,High,No,Split Class,9.69,8.77,2020-04-17
109,Inventory Management,JavaScript,Module_235,4970,Dead Code,Medium,Yes,Inline Method,4.81,9.5,2020-04-18
110,E-Commerce App,Java,Module_5,1487,Feature Envy,Critical,No,Split Class,7.34,2.54,2020-04-19
111,E-Commerce App,Python,Module_291,1535,Magic Numbers,Low,Yes,Replace Magic Number,1.38,9.15,2020-04-20
112,Ride Sharing App,C#,Module_184,3469,God Class,Low,No,Move Method,6.32,7.77,2020-04-21
113,Learning Management System,C#,Module_264,4111,God Class,Medium,No,Rename Variable,1.63,5.01,2020-04-22
114,E-Commerce App,JavaScript,Module_99,4079,Large Class,Low,Yes,Split Class,7.92,1.91,2020-04-23
115,E-Commerce App,C++,Module_175,3609,Magic Numbers,High,Yes,Extract Method,8.3,2.32,2020-04-24
116,Inventory Management,JavaScript,Module_194,4814,Dead Code,Critical,Yes,Remove Dead Code,2.19,9.37,2020-04-25
117,Learning Management System,Java,Module_35,301,Dead Code,Medium,No,Split Class,8.03,9.47,2020-04-26
118,Banking System,Python,Module_83,3855,Large Class,High,No,Extract Method,4.38,6.0,2020-04-27
119,Banking System,JavaScript,Module_234,1378,Spaghetti Code,Medium,No,Inline Method,6.21,12.36,2020-04-28
120,Ride Sharing App,Go,Module_137,4367,Duplicate Code,Critical,No,Rename Variable,1.41,14.38,2020-04-29
121,Healthcare Platform,JavaScript,Module_153,648,Dead Code,Medium,No,Replace Magic Number,8.79,12.11,2020-04-30
122,Learning Management System,Python,Module_126,4851,Dead Code,Critical,No,Extract Method,2.3,7.63,2020-05-01
123,E-Commerce App,C++,Module_287,1989,Feature Envy,Critical,Yes,Inline Method,3.43,4.96,2020-05-02
124,Social Media App,Java,Module_215,1141,Duplicate Code,Critical,Yes,Split Class,2.28,4.1,2020-05-03
125,Social Media App,Python,Module_72,667,Dead Code,High,No,Inline Method,8.25,4.29,2020-05-04
126,Healthcare Platform,Java,Module_151,2498,Magic Numbers,High,No,Extract Method,9.38,12.19,2020-05-05
127,Banking System,JavaScript,Module_251,4707,Duplicate Code,High,No,Replace Magic Number,3.14,11.57,2020-05-06
128,Inventory Management,C++,Module_13,4180,Feature Envy,Low,No,Replace Magic Number,9.15,13.26,2020-05-07
129,Ride Sharing App,C++,Module_286,1694,Large Class,Critical,Yes,Rename Variable,5.98,3.76,2020-05-08
130,Healthcare Platform,Go,Module_61,476,Duplicate Code,Critical,No,Move Method,1.17,9.52,2020-05-09
131,Ride Sharing App,C++,Module_135,4837,Feature Envy,Critical,No,Inline Method,9.3,10.17,2020-05-10
132,Social Media App,Java,Module_34,2510,Dead Code,Low,No,Replace Magic Number,3.5,13.57,2020-05-11
133,Learning Management System,C#,Module_273,3335,Duplicate Code,High,Yes,Extract Method,9.66,7.68,2020-05-12
134,Inventory Management,Java,Module_272,2918,Feature Envy,High,Yes,Rename Variable,5.1,9.61,2020-05-13
135,Healthcare Platform,Java,Module_298,665,Spaghetti Code,Low,Yes,Remove Dead Code,8.52,14.41,2020-05-14
136,Learning Management System,Java,Module_14,2540,Feature Envy,Medium,Yes,Split Class,8.03,14.55,2020-05-15
137,Healthcare Platform,JavaScript,Module_76,1794,Long Method,Medium,No,Split Class,6.12,12.79,2020-05-16
138,Inventory Management,Python,Module_276,1595,Feature Envy,High,No,Remove Dead Code,9.27,12.92,2020-05-17
139,E-Commerce App,C++,Module_20,1081,Magic Numbers,Medium,No,Inline Method,2.61,14.88,2020-05-18
140,Inventory Management,JavaScript,Module_39,2762,Large Class,Critical,Yes,Remove Dead Code,2.99,8.51,2020-05-19
141,Inventory Management,C++,Module_106,4028,Magic Numbers,Critical,No,Remove Dead Code,1.26,14.25,2020-05-20
142,E-Commerce App,C++,Module_73,4180,Feature Envy,Low,Yes,Replace Magic Number,9.96,10.07,2020-05-21
143,Ride Sharing App,Python,Module_22,1936,God Class,Medium,No,Remove Dead Code,7.45,13.96,2020-05-22
144,Learning Management System,JavaScript,Module_191,2819,Feature Envy,Medium,No,Remove Dead Code,5.67,4.81,2020-05-23
145,Learning Management System,C#,Module_289,4434,Large Class,Medium,Yes,Extract Method,8.97,6.24,2020-05-24
146,Healthcare Platform,Python,Module_207,383,Magic Numbers,Medium,Yes,Extract Method,5.06,1.07,2020-05-25
147,Learning Management System,JavaScript,Module_249,1442,Long Method,High,No,Rename Variable,3.57,0.34,2020-05-26
148,Social Media App,Python,Module_100,4122,Spaghetti Code,Low,No,Split Class,5.68,6.31,2020-05-27
149,Social Media App,JavaScript,Module_250,2288,Long Method,Critical,No,Rename Variable,3.63,9.83,2020-05-28
150,Social Media App,Java,Module_163,4376,Feature Envy,Low,No,Replace Magic Number,7.36,12.19,2020-05-29
151,Ride Sharing App,Java,Module_198,2921,Dead Code,Low,No,Inline Method,5.58,12.53,2020-05-30
152,E-Commerce App,Java,Module_152,4975,Duplicate Code,Low,Yes,Inline Method,9.6,7.57,2020-05-31
153,Learning Management System,Java,Module_285,4845,God Class,Critical,Yes,Move Method,1.87,2.69,2020-06-01
154,Ride Sharing App,C#,Module_179,4023,Long Method,High,Yes,Remove Dead Code,3.34,0.11,2020-06-02
155,E-Commerce App,Python,Module_5,4595,Spaghetti Code,Medium,Yes,Inline Method,3.3,12.1,2020-06-03
156,Inventory Management,Go,Module_155,2269,Magic Numbers,Low,Yes,Replace Magic Number,3.96,9.75,2020-06-04
157,Banking System,Python,Module_41,1957,Spaghetti Code,Critical,Yes,Move Method,7.05,13.24,2020-06-05
158,E-Commerce App,Java,Module_284,221,God Class,Medium,Yes,Replace Magic Number,6.51,1.04,2020-06-06
159,Social Media App,Java,Module_26,1593,Long Method,Medium,No,Split Class,8.8,0.16,2020-06-07
160,Social Media App,C++,Module_114,4443,Feature Envy,Medium,No,Split Class,8.32,14.54,2020-06-08
161,Social Media App,Go,Module_129,1950,Long Method,Medium,No,Inline Method,6.48,7.5,2020-06-09
162,E-Commerce App,C++,Module_115,4369,Spaghetti Code,Low,Yes,Rename Variable,5.68,10.44,2020-06-10
163,Banking System,Go,Module_129,1222,God Class,Medium,Yes,Extract Method,2.39,8.92,2020-06-11
164,Healthcare Platform,C++,Module_291,508,God Class,Medium,Yes,Remove Dead Code,9.27,7.22,2020-06-12
165,Inventory Management,Go,Module_262,3862,Magic Numbers,Low,Yes,Inline Method,7.24,4.61,2020-06-13
166,E-Commerce App,JavaScript,Module_243,592,Magic Numbers,Critical,No,Replace Magic Number,4.69,5.94,2020-06-14
167,Inventory Management,Java,Module_5,2431,Dead Code,High,No,Rename Variable,8.59,1.44,2020-06-15
168,E-Commerce App,C++,Module_215,405,Magic Numbers,Critical,Yes,Remove Dead Code,6.07,3.69,2020-06-16
169,Learning Management System,JavaScript,Module_203,2303,God Class,Low,No,Extract Method,5.13,4.55,2020-06-17
170,E-Commerce App,Java,Module_37,3290,Large Class,Medium,No,Inline Method,9.2,9.87,2020-06-18
171,Banking System,C#,Module_76,1402,Large Class,High,Yes,Split Class,8.17,14.16,2020-06-19
172,Inventory Management,Go,Module_140,3395,Large Class,Low,Yes,Remove Dead Code,2.52,13.24,2020-06-20
173,Inventory Management,C++,Module_244,4035,Large Class,Low,No,Split Class,5.72,3.49,2020-06-21
174,Ride Sharing App,C++,Module_216,1784,Feature Envy,Medium,No,Remove Dead Code,8.36,8.49,2020-06-22
175,E-Commerce App,C++,Module_272,846,Spaghetti Code,Critical,Yes,Replace Magic Number,3.42,1.57,2020-06-23
176,Healthcare Platform,Python,Module_148,1240,Duplicate Code,High,No,Replace Magic Number,5.69,10.88,2020-06-24
177,Inventory Management,C++,Module_219,2716,God Class,Critical,No,Split Class,8.49,5.01,2020-06-25
178,Inventory Management,Go,Module_105,4942,Magic Numbers,Critical,Yes,Extract Method,9.05,0.16,2020-06-26
179,Healthcare Platform,C++,Module_172,444,Spaghetti Code,Low,No,Extract Method,4.4,11.45,2020-06-27
180,Ride Sharing App,C#,Module_95,2334,Dead Code,High,No,Rename Variable,7.95,0.29,2020-06-28
181,Ride Sharing App,C++,Module_23,1818,Long Method,Critical,No,Inline Method,9.69,14.09,2020-06-29
182,Inventory Management,JavaScript,Module_260,4604,God Class,High,Yes,Split Class,6.73,14.13,2020-06-30
183,Learning Management System,Go,Module_46,1111,Magic Numbers,Low,No,Move Method,9.11,3.72,2020-07-01
184,Learning Management System,C++,Module_106,388,God Class,Medium,No,Inline Method,6.8,3.89,2020-07-02
185,E-Commerce App,JavaScript,Module_73,3185,Dead Code,High,Yes,Split Class,7.94,4.17,2020-07-03
186,Banking System,C++,Module_198,2294,Long Method,Low,No,Rename Variable,2.37,4.34,2020-07-04
187,Inventory Management,Java,Module_269,1068,Long Method,Medium,Yes,Replace Magic Number,3.75,13.06,2020-07-05
188,Healthcare Platform,C#,Module_104,1587,Spaghetti Code,Low,No,Remove Dead Code,9.85,4.78,2020-07-06
189,Learning Management System,Go,Module_242,540,God Class,High,Yes,Extract Method,5.9,14.14,2020-07-07
190,Social Media App,Python,Module_203,3705,Duplicate Code,Critical,No,Rename Variable,9.98,4.81,2020-07-08
191,Social Media App,C#,Module_298,2539,Dead Code,Low,No,Split Class,7.3,3.73,2020-07-09
192,Social Media App,Python,Module_146,4953,Feature Envy,High,Yes,Replace Magic Number,5.44,7.38,2020-07-10
193,E-Commerce App,C#,Module_136,2828,Magic Numbers,Low,Yes,Extract Method,4.76,1.65,2020-07-11
194,Banking System,C#,Module_128,2927,Spaghetti Code,Medium,No,Replace Magic Number,7.69,11.65,2020-07-12
195,Learning Management System,Java,Module_268,3694,Large Class,Low,Yes,Inline Method,3.38,11.34,2020-07-13
196,Social Media App,C++,Module_88,55,God Class,Medium,Yes,Inline Method,2.76,5.74,2020-07-14
197,Learning Management System,C#,Module_215,2994,Long Method,Low,Yes,Extract Method,8.34,6.14,2020-07-15
198,Banking System,C#,Module_252,1238,Large Class,Medium,No,Extract Method,7.21,4.77,2020-07-16
199,Learning Management System,JavaScript,Module_252,2165,Dead Code,Medium,Yes,Move Method,5.86,6.67,2020-07-17
200,Healthcare Platform,C++,Module_4,1432,Duplicate Code,Critical,Yes,Extract Method,7.46,5.9,2020-07-18
201,Learning Management System,C#,Module_19,1635,God Class,Critical,No,Remove Dead Code,7.31,4.61,2020-07-19
202,E-Commerce App,C++,Module_56,2576,Feature Envy,Low,Yes,Remove Dead Code,2.62,1.82,2020-07-20
203,Inventory Management,Java,Module_118,1305,Spaghetti Code,Medium,No,Remove Dead Code,6.67,7.44,2020-07-21
204,Inventory Management,Go,Module_27,2246,Feature Envy,High,Yes,Move Method,6.46,7.62,2020-07-22
205,Learning Management System,Python,Module_150,948,Long Method,Low,Yes,Rename Variable,2.58,10.97,2020-07-23
206,Healthcare Platform,C++,Module_1,1362,Long Method,Critical,Yes,Move Method,2.13,10.05,2020-07-24
207,Learning Management System,C#,Module_137,3297,Magic Numbers,Low,No,Inline Method,5.09,5.12,2020-07-25
208,Healthcare Platform,C++,Module_51,2965,Dead Code,High,Yes,Split Class,2.57,13.1,2020-07-26
209,Inventory Management,Python,Module_73,4720,Duplicate Code,High,Yes,Inline Method,2.01,13.66,2020-07-27
210,Learning Management System,C#,Module_39,229,Duplicate Code,Low,No,Split Class,3.19,13.8,2020-07-28
211,Healthcare Platform,JavaScript,Module_109,1099,Dead Code,Low,No,Rename Variable,6.75,13.92,2020-07-29
212,Banking System,Go,Module_212,134,Spaghetti Code,Critical,Yes,Rename Variable,4.68,7.16,2020-07-30
213,Ride Sharing App,C++,Module_280,4800,Large Class,Low,Yes,Extract Method,9.11,2.22,2020-07-31
214,Healthcare Platform,C#,Module_108,817,Dead Code,Low,Yes,Remove Dead Code,6.36,12.13,2020-08-01
215,Banking System,Python,Module_12,539,Magic Numbers,Medium,No,Replace Magic Number,6.02,4.45,2020-08-02
216,Inventory Management,C#,Module_40,94,Large Class,Low,Yes,Split Class,1.29,14.8,2020-08-03
217,Ride Sharing App,C++,Module_282,2525,Large Class,Critical,Yes,Move Method,2.82,7.34,2020-08-04
218,Healthcare Platform,JavaScript,Module_152,4838,Spaghetti Code,Low,No,Move Method,6.12,7.36,2020-08-05
219,Learning Management System,C#,Module_174,246,Long Method,Low,No,Move Method,5.93,5.29,2020-08-06
220,Banking System,Java,Module_150,3932,Spaghetti Code,High,Yes,Replace Magic Number,2.37,3.23,2020-08-07
221,Learning Management System,JavaScript,Module_79,738,Long Method,Low,Yes,Remove Dead Code,6.77,13.19,2020-08-08
222,Healthcare Platform,C#,Module_169,1404,God Class,Medium,No,Split Class,8.52,12.55,2020-08-09
223,Banking System,C++,Module_136,3198,Spaghetti Code,Critical,No,Replace Magic Number,8.41,10.39,2020-08-10
224,Ride Sharing App,C++,Module_292,1388,Long Method,Critical,No,Inline Method,1.3,14.36,2020-08-11
225,E-Commerce App,C#,Module_14,2087,Duplicate Code,Medium,No,Extract Method,5.15,0.31,2020-08-12
226,Ride Sharing App,Go,Module_210,1402,Dead Code,Low,No,Remove Dead Code,5.83,2.17,2020-08-13
227,Healthcare Platform,Python,Module_182,3413,God Class,Medium,Yes,Remove Dead Code,8.86,11.9,2020-08-14
228,Social Media App,C#,Module_79,2905,Spaghetti Code,Critical,No,Inline Method,4.9,1.55,2020-08-15
229,E-Commerce App,JavaScript,Module_139,1760,Duplicate Code,Low,No,Extract Method,7.81,11.44,2020-08-16
230,Social Media App,JavaScript,Module_263,2858,Long Method,Medium,Yes,Extract Method,8.46,11.02,2020-08-17
231,Banking System,Python,Module_188,1174,Large Class,Medium,No,Replace Magic Number,9.23,9.74,2020-08-18
232,Ride Sharing App,Java,Module_173,2111,God Class,High,No,Inline Method,5.39,0.42,2020-08-19
233,Inventory Management,C#,Module_36,4482,Spaghetti Code,Critical,No,Split Class,6.71,11.0,2020-08-20
234,Social Media App,Go,Module_68,1946,Large Class,Low,No,Extract Method,2.68,13.99,2020-08-21
235,Ride Sharing App,Go,Module_262,1567,Magic Numbers,Low,No,Remove Dead Code,3.4,11.88,2020-08-22
236,Healthcare Platform,JavaScript,Module_105,4330,Long Method,Low,Yes,Split Class,5.11,9.45,2020-08-23
237,E-Commerce App,Java,Module_207,395,Large Class,Low,Yes,Replace Magic Number,5.48,6.21,2020-08-24
238,Banking System,Go,Module_255,693,Long Method,High,No,Replace Magic Number,5.69,9.84,2020-08-25
239,Ride Sharing App,C++,Module_192,1323,Long Method,High,Yes,Extract Method,9.81,12.99,2020-08-26
240,Ride Sharing App,Java,Module_213,4240,Long Method,High,No,Split Class,6.86,9.43,2020-08-27
241,Healthcare Platform,Python,Module_109,4571,Spaghetti Code,Critical,No,Extract Method,5.22,0.37,2020-08-28
242,Learning Management System,Go,Module_277,108,Dead Code,High,No,Move Method,9.2,1.96,2020-08-29
243,Ride Sharing App,C#,Module_210,4162,Long Method,High,No,Rename Variable,9.85,8.7,2020-08-30
244,Inventory Management,Java,Module_87,2295,Long Method,High,No,Rename Variable,1.17,11.06,2020-08-31
245,Healthcare Platform,Python,Module_165,668,Spaghetti Code,Low,Yes,Extract Method,3.63,4.81,2020-09-01
246,Social Media App,C#,Module_98,1163,Duplicate Code,Medium,No,Split Class,9.21,3.03,2020-09-02
247,E-Commerce App,Python,Module_177,3711,Magic Numbers,Medium,Yes,Split Class,2.02,13.02,2020-09-03
248,Learning Management System,Go,Module_151,4979,Dead Code,Medium,No,Split Class,7.21,12.37,2020-09-04
249,Inventory Management,Java,Module_255,3308,God Class,High,Yes,Rename Variable,7.55,6.17,2020-09-05
250,Inventory Management,JavaScript,Module_178,270,Long Method,Medium,Yes,Replace Magic Number,9.34,13.12,2020-09-06
251,E-Commerce App,Go,Module_258,4901,Long Method,Medium,No,Extract Method,1.56,5.36,2020-09-07
